,wheel_l,wheel_r,beta_l,beta_r,alpha
295,1.087,9.7826,-0.015482,0.067317,-0.31518
296,1.087,7.6087,-0.028014,0.040003,-0.17369
297,1.087,5.4348,-0.02268,0.024398,-0.074192
298,1.087,3.2609,-0.011591,0.011671,-0.012136
487,3.2609,9.7826,-0.020675,0.040317,-0.18154
488,3.2609,7.6087,-0.021537,0.024294,-0.076641
489,3.2609,5.4348,-0.011434,0.011593,-0.017247
490,3.2609,3.2609,2.0607e-05,-1.5083e-05,-1.7846e-05
511,5.4348,9.7826,-0.019607,0.023768,-0.079202
512,5.4348,7.6087,-0.011299,0.011533,-0.018756
513,5.4348,5.4348,-1.6333e-05,1.9857e-05,1.0796e-05
514,5.4348,3.2609,0.011594,-0.011435,0.017244
535,7.6087,9.7826,-0.011144,0.011363,-0.019447
536,7.6087,7.6087,-1.6645e-05,1.9309e-05,7.6177e-06
537,7.6087,5.4348,0.011533,-0.011299,0.018743
538,7.6087,3.2609,0.024291,-0.021591,0.075967
559,9.7826,9.7826,1.9135e-05,-1.6952e-05,-5.9123e-06
560,9.7826,7.6087,0.011361,-0.011146,0.019437
561,9.7826,5.4348,0.023778,-0.01976,0.078272
562,9.7826,3.2609,0.040107,-0.021864,0.17559
